speed: 0 ; cp: [''] ; reward: -0.15
speed: 2 ; cp: [''] ; reward: -0.14982222222222222
speed: 4 ; cp: [''] ; reward: -0.1492888888888889
speed: 0 ; cp: [''] ; reward: -0.15
speed: 5 ; cp: [''] ; reward: -0.14888888888888888
speed: 5 ; cp: [''] ; reward: -0.14888888888888888
speed: 5 ; cp: [''] ; reward: -0.14888888888888888
speed: 9 ; cp: [''] ; reward: -0.1464
speed: 11 ; cp: [''] ; reward: -0.1446222222222222
speed: 13 ; cp: [''] ; reward: -0.1424888888888889
speed: 15 ; cp: [''] ; reward: -0.13999999999999999
speed: 18 ; cp: [''] ; reward: -0.1356
speed: 18 ; cp: [''] ; reward: -0.1356
speed: 19 ; cp: [''] ; reward: -0.13395555555555555
speed: 22 ; cp: [''] ; reward: -0.12848888888888887
speed: 24 ; cp: [''] ; reward: -0.1244
speed: 24 ; cp: [''] ; reward: -0.1244
speed: 25 ; cp: [''] ; reward: -0.12222222222222222
speed: 28 ; cp: [''] ; reward: -0.11515555555555554
speed: 31 ; cp: [''] ; reward: -0.10728888888888888
speed: 31 ; cp: [''] ; reward: -0.10728888888888888
speed: 33 ; cp: [''] ; reward: -0.1016
speed: 33 ; cp: [''] ; reward: -0.1016
speed: 32 ; cp: [''] ; reward: -0.10448888888888888
speed: 31 ; cp: [''] ; reward: -0.10728888888888888
speed: 31 ; cp: [''] ; reward: -0.10728888888888888
speed: 31 ; cp: [''] ; reward: -0.10728888888888888
speed: 32 ; cp: [''] ; reward: -0.10448888888888888
speed: 31 ; cp: [''] ; reward: -0.10728888888888888
speed: 38 ; cp: [''] ; reward: -0.0858222222222222
speed: 38 ; cp: [''] ; reward: -0.0858222222222222
speed: 38 ; cp: [''] ; reward: -0.0858222222222222
speed: 33 ; cp: [''] ; reward: -0.1016
speed: 33 ; cp: [''] ; reward: -0.1016
speed: 34 ; cp: [''] ; reward: -0.09862222222222222
speed: 38 ; cp: [''] ; reward: -0.0858222222222222
speed: 38 ; cp: [''] ; reward: -0.0858222222222222
speed: 35 ; cp: [''] ; reward: -0.09555555555555555
speed: 35 ; cp: [''] ; reward: -0.09555555555555555
speed: 34 ; cp: [''] ; reward: -0.09862222222222222
speed: 33 ; cp: [''] ; reward: -0.1016
speed: 35 ; cp: [''] ; reward: -0.09555555555555555
speed: 35 ; cp: [''] ; reward: -0.09555555555555555
speed: 34 ; cp: [''] ; reward: -0.09862222222222222
speed: 35 ; cp: [''] ; reward: -0.09555555555555555
speed: 35 ; cp: [''] ; reward: -0.09555555555555555
speed: 34 ; cp: [''] ; reward: -0.09862222222222222
speed: 35 ; cp: [''] ; reward: -0.09555555555555555
speed: 39 ; cp: [''] ; reward: -0.08239999999999999
speed: 41 ; cp: [''] ; reward: -0.07528888888888889
speed: 44 ; cp: [''] ; reward: -0.06395555555555554
speed: 44 ; cp: [''] ; reward: -0.06395555555555554
speed: 43 ; cp: [''] ; reward: -0.06782222222222221
speed: 45 ; cp: [''] ; reward: -0.06
speed: 45 ; cp: [''] ; reward: -0.06
speed: 42 ; cp: [''] ; reward: -0.07159999999999998
speed: 48 ; cp: [''] ; reward: -0.04759999999999999
speed: 45 ; cp: [''] ; reward: -0.06
speed: 48 ; cp: [''] ; reward: -0.04759999999999999
speed: 48 ; cp: [''] ; reward: -0.04759999999999999
speed: 51 ; cp: [''] ; reward: -0.03439999999999997
speed: 51 ; cp: [''] ; reward: -0.03439999999999997
speed: 29 ; cp: [''] ; reward: -0.11262222222222222
speed: 18 ; cp: [''] ; reward: -0.1356
speed: 9 ; cp: [''] ; reward: -0.1464
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 1 ; cp: [''] ; reward: -0.14995555555555554
speed: 0 ; cp: [''] ; reward: -0.15
speed: 1 ; cp: [''] ; reward: -0.14995555555555554
speed: 2 ; cp: [''] ; reward: -0.14982222222222222
speed: 1 ; cp: [''] ; reward: -0.14995555555555554
speed: 2 ; cp: [''] ; reward: -0.14982222222222222
speed: 2 ; cp: [''] ; reward: -0.14982222222222222
speed: 1 ; cp: [''] ; reward: -0.14995555555555554
speed: 2 ; cp: [''] ; reward: -0.14982222222222222
speed: 1 ; cp: [''] ; reward: -0.14995555555555554
speed: 1 ; cp: [''] ; reward: -0.14995555555555554
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 1 ; cp: [''] ; reward: -0.14995555555555554
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
speed: 0 ; cp: [''] ; reward: -0.15
